recipe name,preparation time,min_portion,max_portion,ingredients,steps
Empanadas de camarón queso,0.0,10,,"['3 tazas de harina para todo uso, sin polvos de hornear', '1 cucharadita de sal', '1 cucharadita de polvos de hornear', '1/2 taza de leche tibia', '2 cucharadas de manteca derretida', '1/2 taza de agua tibia', '1/2 kilo de camarones crudos', '1/2 kilo de queso mantecoso', 'Aceite vegetal para freír']","['1-En un bol grande colocar la harina y hacer como un volcán. Alrededor colocar la sal, y en el centro los polvos de hornear, la leche tibia y la manteca. Unir la masa y de a poco ir agregando el agua tibia. Formar una masa suave y elástica que no se pegue en los dedos. Amasar lo suficiente para lograr la masa. Luego dejar reposar la masa tapada por unos 10 minutos.', '2-Estirar la masa con un uslero, debe quedar delgada. Puede usar platos de entrada para cortar la masa.', '3-Colocar en el entorno un poco de agua con los dedos, luego colocar en el centro trozos de camarones y queso, debe llevar más queso que camarón.', '4-Cerrar la empanada, luego darle un doblez y con la ayuda de un tenedor marcar el entorno como se ve en la foto arriba.', '5-Si desea hornearla, precaliente el horno a 400°F (200°C). Pincelar por encima de la empanada con un poco de la mezcla de yema y agua. Hornear por 15 minutos.', '6-Ahora, si desea hacerlas fritas, calentar bien el aceite a fuego medio por unos 5 minutos. Luego colocar el fuego bajo e ir friéndose por unos 5 a 6 minutos por lado. Colocar sobre bastante papel absorbente.']"
Empanadas de mariscos,60.0,8,,"['PARA LA MASA:', '3 tazas de harina', '70 grs de manteca derretida', '1 taza de leche tibia', '1 cucharadita de polvos de hornear', '1 cucharadita de sal', 'PARA EL PINO', '2 a 3 cucharadas de aceite maravilla o canola', '2 cebollas picadas en cuadros', '1/2 kilo de surtido de mariscos', '1 cucharadita de ají color (puede reemplazar por paprika)', '1 cucharadita de ají en pasta', '1/2 cucharadita de orégano', 'Sal a gusto']","['1-Comenzamos con el pino, ya que este para rellenar las empanadas debe estar frío.', '2-Freír la cebolla en un sartén con las cucharadas de aceite. Este proceso tomará unos 6 minutos aproximadamente, a fuego medio. Debe ir revolviendo de vez en cuando.', '3-Luego agregar el ají color, ají en pasta, orégano y sal.', '4-Enseguida agregar los mariscos, revolver bien y dejar cocinar unos 3 minutos más.', '5-No debe recocer los mariscos ya que el resto de cocción terminará en el horno.', '6-Retirar del fuego y dejar que se enfríe completamente antes de usar.', '7-Para preparar la masa, esta debe quedar super manejable y compacta.', '8-Coloque en un bol la harina y sal, haga un hoyo en el centro y coloque la manteca derretida, mezcle un poco con una cuchara para que no se queme. Agregar la leche tibia, mezclar un poco más con la cuchara para luego comenzar a amasar con las manos sobre la mesa. No es necesario agregar más harina, esta mezcla queda buenísima y no debería pegarse en las manos.', '9-Forme la masa y divídala en 8 porciones, puede hacerlas más pequeñas si las quiere fritas y así tendrá más porciones. Forme bolitas iguales, luego con la ayuda de un uslero, estire cada bolita en forma circular.', '10-Rellenar con el pino. Cerrar los bordes de cada empanada como se ve en las fotos.', '11-Si las va a hornear, precaliente el horno a 400°F (200°C).', '12-Pincelar cada empanada con la mezcla de una yema con un poco de agua o leche.', '13-Hornear por 20 minutos.', '14-Si las quiere fritas, prepare una olla o sartén hondo con bastante aceite. Debe esperar que esté bien caliente. Para saber esto puede usar el truco de colocar un fósforo en el aceite y cuando este se prenta es porque el aceita está óptimo para freír.', '15-A las empanadas fritas NO se les pincela con la mezcla de yema + agua.', '16-Recuerde dejar las empanadas bien cerradas para que no se les vaya escapar el jugo del pino, sino le va a sarpicar aceite.', '17-Freír 2 a 3 minutos por lado.', '18-Servir con pebre.']"
Empanadas de pino al horno,65.0,15,,"['500 grs de carne de res molida o pequeños trozos (puede ser posta o asiento)', '2 cebolllas grandes', '3 cucharadas de aceite', '1 cucharadita de ají de color', '1 pizca de comino', '1 pizca de azúcar', 'Sal y pimienta a gusto', '1 cucharada de harina disuelta en 1/4 taza de agua tibia', '200grs de manteca vegetal', '1 kilo de harina', '1 cucharada de sal', '1 taza de leche tibia', '1 taza de agua tibia', '100 grs de pasas', '15 aceituna negras de azapa', '3 huevos duros en rodajas', '1 yema batida con 1 cucharada de leche (para pintar por encima las empanadas)']","['1-En un sartén u olla calentar el aceite y freír las cebollas picadas en cuadritos apróximadamente unos 5 minutos. Luego agregar la carne y enseguida los aliños (ají color, sal, pimienta, comino) agregar las pasas. Dejar cocinar un par de minutos y luego para espesar el pino, se le agrega la cucharada de harina disuelta en agua. Reservar.', '2-En un bol poner la harina junto con la sal y hacer un hueco en el centro. Agregar la manteca derretida, mezclar un poco y enseguida adjuntar la leche tibia y a medida que fuera necesario ir agregar el agua tibia. Formar una masa blanda. Luego sobre una superficie lisa y ligeramente enharinada amasar la mezcla por unos minutos para que quede una masa suave y elástica. Dividir la masa en 15 porciones iguales y uslerear cada una en forma redonda.', '3-Con la ayuda de un pincel pintar los bordes de la masa con agua. Rellenar con 2 a 3 cucharadas de pino, 1 aceituna, 1 torreja de huevo. Doblar la masa por la mitad sobre el relleno y presionar ligeramente para sellar los bordes.', '4-Pintar por encima la empanada con la mezcla de la yema y leche. Y pinchar en el centro de cada empanada con la ayuda de un mondadientes.', '5-Hornear a 350° F (180°C) por unos 25 minutos o hasta dorar. Servir calientes.']"
Empanadas de pino,50.0,12,,"['500 grs carne de vacuno picado o molida (puede usar asiento, posta rosada o lomo liso)', '2 cebollas grandes', '1 cucharada de aceite', '1 cucharadita de sal', '1/2 cucharadita de ají color (reemplazar por paprika)', '1/4 cucharadita de orégano', '1/4 cucharadita de pimienta', '1/4 cucharadita de comino', '3 huevos cocidos y cortados en rodajas', '24 aceitunas negras', '1/2 taza de pasas', '1 kilo de harina', '180 grs de manteca', '1 cucharada de sal', '2 tazas de agua a temperatura de ambiente']","['1-Agregue la harina, sal, manteca y el agua poco a poco para ir formando una masa fácil de trabajar.', '2-Ojo que la manteca no debe derretir. Se usa a temperatura de ambiente y se va integrando con las manos o en la mezcladora.', '3-Una vez lista la masa, estirar con la ayuda de un uslero y cortar círculos de 15 cms de diámetro.', '4-Precalentar el horno a 200°C (400°F).', '5-En el centro de cada masa poner una o dos cucharadas grandes de pino, una rodaja de huevo, una o dos aceitunas, 2 a 3 pasas.', '6-Humedecer un borde de la masa para poder cerrarla, luego doblar\xa0 los costados y luego el centro de la empanada.', '7-Puede pincelar por encima de cada empanada con la mezcla una yema y agua. Así le dará un color dorado por encima.', '8-Hacer un aguajero en el centro de cada empanada con la ayuda de un mondadientes o algo similar.', '9-Llevar al horno por 20 minutos o hasta que las empanadas estén doradas por encima.']"
Empolvados chilenos,37.0,15,,"['5 huevos', '1 taza de harina cernida sin polvos de hornear', '1 taza de azúcar granulada', 'Azúcar flor para espolvorear', 'Manjar (dulce de leche)']","['1-Precalentar el horno a 350°F (180°C)', '2-Batir las claras un poco, luego comenzar agregar el azúcar. Batir hasta que no se sientan los cristales de azúcar.', '3-Añadir las yemas una a una.', '4-Luego con una espátula o cuchara integrar la harina de manera envolvente lo necesario para unir.', '5-Sobre una lata de horno cubierta con papel para hornear se van formando montoncitos de masa, también se puede ayudar con una manga pastelera.', '6-Hornear por unos 12 minutos aproximadamente o hasta que estén levemente dorados.', '7-Una vez fríos se pueden pasar cada masa dentro una bolsa ziploc con azúcar flor.', '8-Se van uniendo de a dos con manjar a gusto.']"
Ensalada a la chilena,10.0,2,,"['3 tomates medianos', '1 cebolla cortada en pluma', '1 cucharada de perejil picado', 'Aceite y sal a gusto']","['1-En esta primera es opcional, pero si no quiere quedar pasado a cebolla es que sugiero blanquear la cebolla por unos minutos en agua caliente. Ponga la cebolla cortada en pluma en un pocillo, la cubre con agua caliente por unos minutos, y luego la lava bajo el chorro de agua.', '2-Cortar los tomates en gajos, o en rodajas, agregar la cebolla, perejil y aliñar con sal y aceite a gusto.', '3-Déjela reposar unos minutos para que el tomate vaya botando su jugo.']"
Ensalada de apio y palta (aguacate),10.0,4,,"['Varias ramas de\xa0 apio limpio y picado', '1 palta (aguacate)', '5 rabanitos cortados en rodajas', '10 aceitunas', '1 cucharadita perejil o cilantro', '1 cucharadita aceite de oliva', 'sal a gusto', 'jugo de limón a gusto']","['1-Unir los ingredientes en un bowl apio, palta, rabanitos, aceitunas cortadas y perejil picado.', '2-Aparte, mezclar el jugo de limón, sal y aceite de oliva.', '3-Agregar este aderezo a la ensalada, revolver bien y dejar que se impregnen los sabores.']"
Estofado de carne,45.0,3,4,"['1/2 kilo (puede ser un poco más) de carne de vacuno picada en trozos', '1 cucharadita de harina', '1 cucharada de aceite vegetal', '2 cebollas medianas cortadas en pluma', '2 zanahorias peladas y cortadas en rodajas', '1 diente de ajo picado fino', '6 a 8 papas medianas', '1 hoja de laurel', 'Una pizca de comino', 'Una pizca de orégano', '1 cucharadita de ají color (paprika)', 'Sal y pimienta a gusto', '1/2 taza de salsa de tomate', '1 taza y poco más de agua hervida, también puede reemplazar por caldo de carne líquido']","['1-En una olla junto con una cucharada de aceite freímos por unos 4 minutos la cebolla. Luego retiramos y en la misma olla con un poquito más de aceite sellamos la carne cortada. Esto toma unos 3 a 5 minutos aproximadamente. Luego agregar encima la cucharadita de harina. Colocar encima la cebolla, ajo picado, y zanahoria cortada.', '2-Sazonar con comino, orégano, ají color, sal y pimienta.', '3-Colocar la hoja de laurel, y salsa de tomate. Mezclar todo muy bien.', '4-Agregar las papas cortadas en cuadros, puede usarlas a lo largo también.', '5-Revolver bien y añadir el agua o caldo.', '6-Cocinar con la olla tapada por unos 25 minutos a fuego medio. Pero si tiene más tiempo, puede hacerlo todo pero a fuego bajo por unos 35 minutos.']"
Flan de manjar,80.0,8,,"['1 taza de azúcar', '1 tarro de manjar (380 grs)', '8 huevos', '1 litro de leche', '1/2 taza de azúcar (extra)']","['1-En un sartén colocar un poco de azúcar, cuando esta comience a tomar color, ir agregando poco a poco toda la taza de azúcar. A medida que se vaya derritiendo vaya revolviendo el azúcar para que vaya tomando el color caramelo y esto debe cocinarse a fuego medio. Una vez listo el caramelo, con mucho cuidado debe esparcirlo sobre un molde de 24 cms. con orificio en el centro, por supuesto puede utilizar de otro tipo molde.', '2-Ahora comenzamos a preparar el flan mientras dejamos que se enfríe el molde en un lugar seguro.', '3-Para el flan colocar en un bol batir el manjar e ir incorporando los huevos, la 1/2 taza de azúcar y la leche. Luego al momento de traspasar la mezcla al molde utilicen un colador.', '4-Este molde debe ir sobre otra fuente con agua fría (baño maría).', '5-Llevar al horno por 1 hora a 350°F (180°C).', '6-Puede dejar enfríar en el horno.', '7-El molde debe estar completadamente frío antes de desmoldar.', '8-Una listo, refrigerar.']"
Galletas de chuño,20.0,24,,"['100 grs de margarina o mantequilla', '3/4 taza de azúcar o endulzante que sea de su gusto', '1 huevo', 'Ralladura de medio limón o 1 cucharadita de esencia de vainilla', '1 taza de chuño (141 grs)', '3/4 taza de harina sin polvos de hornear (puede reemplazar por harina de arroz)', '1/2 cucharadita de polvos de hornear']","['1-En una mezcladora o en un bol a mano, batir la margarina con el azúcar. Luego agregar el huevo.', '2-Enseguida añadir la esencia de vainilla o ralladura de limón.', '3-Continuar agregando el chuño, la harina y los polvos de hornear.', '4-Formar una masa que idealmente no se pegue en las manos.', '5-Envolver en una papel de alusa plástico o en el mismo bol llevar la masa al refrigerador por unos 20 minutos como mínimo.', '6-Precalentar el horno a unos 350°F (180°C).', '7-Formar las galletas en forma de bolitas, o con la forma de galletas aplanándolas con las manos. Si las hace así les saldrán más grandes que si las deja en forma de bolitas. En las fotos se aprecian ambos tamaños.', '8-Hornear por 10 minutos.']"
Galletas S de limón,35.0,40,,"['2 tazas de harina común para todo uso', '116 grs de margarina (3/4 taza app)', '3/4 taza de azúcar granulada', '1 huevo', '1/2 cucharadita de polvos de hornear', '1 cucharadita de ralladura de limón', '3 cucharadas de azúcar flor (glas)', '1/2 cucharadita de jugo de limón', 'Mostacilla de colores']","['1-Precalentar el horno a 350°F (180°C).', '2-Preparar una bandeja con papel de mantequilla.', '3-En un bol batir la mantequilla con el azúcar granulada.', '4-Luego agregar el huevo y la ralladura de limón. Mezclar bien.', '5-Incorporar la harina con los polvos de hornear.', '6-Formar un rollo e ir cortando pequeños trozos, luego con cada trozo formar la letra S (como se aprecia en la foto).', '7-Llevar al horno por 10 minutos.', '8-Es importante sacarlas del horno, dejarla un minuto en la bandeja y luego pasarlas a la rejilla para que se enfríen.', '9-Mientras tanto hacer un glacé mezclando el azúcar flor con el jugo de limón.', '10-Colocar sobre cada galleta para luego poner encima un poco de mostacillas.']"
Garbanzos con ostiones,0.0,4,,"['2 frascos o tarros de garbanzos cocidos', '40 ostiones limpios', '1 cebolla picada finamente', '1/2 diente de ajo picado', '1/2 tomate, sin piel y rallado', '1/2 taza de vino blanco', '1 cucharada de ají color', 'Hojas de rúcula', 'Aceite de oliva, sal marina y pimienta']","['1-En un sartén hacer un sofrito con la cebolla y un chorro de aceite de olive. A los 5 minutos agregar el ajo picado y sofreír a fuego medio para que no se queme.', '2-Agregar el ají color, revolver y luego agregar el vino y el tomate rallado. Cocinar por unos 10 minutos para evaporar el vino.', '3-Agregar a este sofrito los garbanzos con todo el jugo de la conserva y cocinar unos minutos para que se evapore parte de este jugo. Agregar sal y pimienta a gusto.', '4-Antes de servir, calentar muy bien una sartén con un poco de aceite y, cuando empiece a humear, poner los ostiones y dejar que se doren bien por una cara. Esto tomará un poco más de un minuto si la temperatura es suficientemente alta.', '5-Dar vuelta y dejar un minuto más. Agregar sal y pimienta sobre el guiso de los garbanzos agregando el jugo que se pueda recuperar de la sartén. A último momento decorar con unas hojas de rúcula o perejil como lo hice yo.']"
Guatitas a la jardinera (Pancita de res),130.0,4,,"['1 paquete de pancita (guatitas) de res Rumba Meats™', '2 hojas de laurel', 'Sal y pimienta a gusto', '1 cucharada de aceite de oliva', '1 cebolla cortada en pluma', '1 diente de ajo', '1 zanahoria cortada en rodajas', '1 tomate grande cortado en cuadros', '1 taza de salsa de tomate o concentrado de tomate', '1 cucharadita de orégano', 'Sal y pimienta a gusto', '1 taza de arvejas', '1 taza de maíz (choclo desgranado)']","['1-Primero lavar la pancita de res (guatitas) bajo un chorro de agua fría. Luego colocarla en una olla con agua fría, junto a 2 hojas de laurel, sal y pimienta a gusto, y cocinar por unos 90 minutos. Si usa olla a presión, es sólo 45 minutos.', '2-Una vez lista, retirar la pancita de res (guatitas), dejarlas enfriar y cortarlas en tiras pequeñas. Reservar.', '3-Luego en un sartén colocar el aceite de oliva y freír la cebolla y ajo picado por unos 4 minutos. Agregar la zanahoria. Cocinar unos 3 minutos.', '4-Añadir el tomate picado, salsa de tomate y sazonar con orégano, sal y pimienta a gusto.', '5-Agregar la pancita de res (guatitas) cortada y 1 taza del agua de la cocción o 1 taza de caldo de carne.Mezclar bien y agregar las arvejas y el maíz (choclo).', '6-Cocinar a fuego medio por unos 4 minutos y apagar.', '7-Servir la pancita de res (guatitas) con arroz blanco o papas fritas en cuadros.']"
Hallullas y Día de la Comida Chilena,40.0,10,,"['3 tazas de harina sin polvos de hornear (420 grs)', '1 sobre de levadura en polvo ( 7 grs)', '1 cucharadita de azúcar (4 grs)', '1 y un poquito más cucharadita de sal (8 grs)', '1/2 taza de leche tibia (105°-115°F) (40°-46°C)', '1/2 taza de agua tibia (105°-115°F) (40°-46°C)', '3 cucharadas de manteca vegetal ( 42 grs) / pueden reemplazar por mantequilla']","['1-Disolver la levadura en un poco de agua tibia la temperatura no debe exceder los (115°F) (46°C).', '2-En un bol colocar la harina con la sal y azúcar.', '3-Agregar la levadura disuelta, leche, agua y la manteca a temperatura de ambiente (si desea puede derretirla también).', '4-Trabajar la masa hasta unir bien todos los ingredientes. Dejar reposar la masa unos 20 minutos.', '5-Luego con la ayuda de un uslero extender la masa, para luego doblarla en dos.', '6-De esta forma cortamos círculos de tamaño regular. Colocamos estos círculos en una bandeja cubierta con papel de mantequilla (idealmente) y pinchamos la masa con un tenedor. Dejamos reposar al menos 1/2 hora.', '7-Precalentar el horno a 400°F (200°C) y luego horneamos por uno 20 minutos como máximo.', '8-*Como alternativa si quiere que las hallulas le queden doradas y brillantes, puede mezclar una yema de huevo con un poquito de agua y con un pincel las pinta por encima. Este paso es totalmente opcional.']"
Helado de Borgoña,32.0,6,,"['2 tazas de un buen vino tinto (si es chileno es mejor)', '3/4 taza de azúcar granulada', '1 palo de canela (opcional)', '1 taza de puré de frutillas (moler las frutillas naturales)', '3/4 taza de crema líquida']","['1-En una olla colocar el vino, azúcar, canela. Hervir por unos minutos o hasta que el azúcar se haya disuelto. Y si desea retirar el alcohol del vino debe dejarlo hervir al menos por unos 8 a 10 minutos más. O usar la técnica de flambeado, pero esto es recomendado para quienes dominan este paso.', '2-Dejar que esta mezcla se enfríe y retirar el palo de canela.', '3-Luego unir la mezcla de vino con el puré de frutillas y crema.', '4-Se puede proceder a usar la máquina de helado o en el caso que no tenga debe guardar la mezcla en un pote de plástico hermético y llevarlo al congelador. Después de 2 horas sacarlo y batir la mezcla por unos minutos, y posteriormente guardarlo en el congelador por un par de horas.']"
Helado de Cola de mono (trago chileno),20.0,10,,"['1 litro de leche líquida', '1 taza de azúcar granulada', '3 cucharaditas de café instantáneo en polvo', '1 taza (240ml) de aguardiente', '5 clavos de olor', '1 pedazo de cáscara de naranja', '1 pizca de nuez moscada en polvo', '1 cucharadita de esencia de vainilla', '2 palitos de canela']","['1-Colocar en una olla la leche, azúcar, clavos de olor, cáscara de naranja, nuez moscada y palos de canela. Revolver hasta disolver el azúcar. En una taza disolver las 3 cucharaditas de café con un poco de agua caliente. Reservar. Cuando la leche suelte el primer hervor, apagar el fuego y agregar el café y la esencia de vainilla. Dejar enfriar. Finalmente agregar el aguardiente. Pasar la mezcla por un colador.', '2-Luego colocar la mezcla en una máquina para hacer helado y seguir la intrucciones del fabricante.', '3-En caso de no contar con una máquina, coloque la mezcla en un envase plástico con tapa y la lleva al refrigerador por 2 horas. Sacar del freezer y revolver enérgicamente por unos minutos y nuevamente llevar al freezer por varias horas antes de servir.']"
Helado de manjar,0.0,,,"['1 tarro de leche evaporada refrigerado por varias horas', '1 tarro de dulce de leche (manjar) o 380 grs si es que compran en bolsa', '1 cucharada de esencia de vainilla de buena calidad', '', '']","['1-Batir la leche ideal hasta aumentar el doble de su volumen, luego bajar la velocidad de la batidora e ir agregando lentamente el manjar, finalmente añadir la cucharada vainilla.', '2-Llevar al freezer en un pote plástico con tapa por unas 2 horas.', '3-En el caso de tener la máquina de hacer helado, seguir la instrucciones de su máquina.']"
Kuchen de ciruelas y duraznos,75.0,8,,"['2 1/2 tazas de harina sin polvos de hornear', '1 cucharada de azúcar flor (glas, impalpable)', '1/4 cucharadita de sal', '150 grs de mantequilla fría y cortada en cuadrados pequeños', '1 cucharada de jugo de limón', '1 huevo', '5 cucharadas de agua helada', '2 duraznos', '3 ciruelas', '1/3 taza de harina para todo uso', '1 cucharada de maicena', '1 taza de azúcar granulada', '4 cucharadas de mantequilla fría y cortada en trozos', '1 cucharadita de esencia de vainilla', '1 huevo', '1 cucharada de agua', '1 pizca de sal', '1 cucharadita de azúcar granulada']","['1-Mezclar en un bol los ingredientes secos: harina, azúcar flor y sal. Agregar la mantequilla y mezclar un poco logrando que luzca como migas. Añadir el jugo de limón, huevo y agua. Mezclar hasta que esté unida, no es necesario amasar demasiado.', '2-Envolver la masa en un plástico y llevar al refrigerador por 30 minutos.', '3-Mientras tanto preparar el relleno, cortando los duraznos y ciruelas en tajadas, retirando los cuescos. En un pequeño bol mezclar la harina, maicena, y azúcar, agregar la mantequilla y vainilla. Unir con los dedos para que quede una mezcla como migas y agregar los duraznos y ciruelas. Dejar reposar un rato.', '4-Retirar la masa del refrigerador pasado los 30 minutos y dividir la masa en 3 partes iguales.', '5-Unir dos partes y estirar la masa con la ayuda de un uslero, colocarlo en un molde antiadherente o enmantequillado. Dejar bordes por los costados y emparejar bien.', '6-Colocar el relleno.', '7-Luego con la tercera parte de la masa, estirarla con el uslero, idealmente con alusa plástico encima de la masa para que no se pegue en el uslero. Luego cortar tiras. Ir colocándolas intercaladas sobre el kuchen con mucho cuidado.', '8-En un pequeño bol batir 1 huevo, 1 cucharada de agua, una pizca de sal. Pincelar sobre el kuchen con esta mezcla y luego rociar encima el azúcar.', '9-Llevar al horno a 400°F (200°C) por 10 minutos. Luego bajar la temperatura a 350°F (180°C) y hornear por 45 minutos.', '10-Servir completamente frío.']"
Kuchen de duraznos,75.0,12,,"['1 1/2 taza de harina para todo uso, sin polvos de hornear', '3/4 taza de azúcar granulada', '2 cucharaditas de polvos de hornear', '1/4 cucharadita de sal', '80 grs de taza de mantequilla fría, cortada en cuadros', '1/2 taza de leche', '1 huevo', '3 duraznos frescos pelados o 3 unidades de duraznos en conserva', '1 taza de crema de leche líquida', '1 cucharada de harina', '1/2 taza de azúcar', '1 huevo', '1 cucharadita de esencia de vainilla', '1 pizca de sal']","['1-Precalentar el horno a 400°F (200°C).', '2-En un bol mezclar la harina, azúcar, polvos de hornear, sal. Agregar la mantequilla para ir uniendo los ingredientes y lograr una especie de miga.', '3-En otro bol batir el huevo y la leche. E incorporar a la mezcla anterior de harina. Mezclar bien.', '4-Colocar esta mezcla en un molde de unos 24 cms enmantequillado.', '5-Colocar encima los duraznos cortados en gajos.', '6-Llevar al horno a la misma temperatura del precalentado por unos 15 minutos.', '7-Mientras en un bol mezclar la crema con la harina, evitando que se formen grumos. Añadir el azúcar, huevo, esencia de vainilla y sal. Mezclar bien.', '8-Sacar el molde del horno y colocar encima de la masa precocida la mezcla de crema.', '9-Llevar al horno nuevamente a 350°F (180°C) por unos 40 minutos.', '10-Tratar que quede dorado por encima.', '11-Una vez listo, dejar enfríar completamente antes de desmoldar.']"
Kuchen de mermelada,55.0,10,,"['2 tazas (280 grs) de harina', '4 cucharadas (40grs) de azúcar flor (glas)', '1 cucharadita (4 grs) de polvos de hornear', '1 huevo', '4 cucharadas (60 grs) de mantequilla blanda', 'ralladura de un limón', '1/2 taza de leche', '200 grs de mermelada del sabor que desee']",[nan]
Kuchen de Frambuesa,60.0,12,,"['80 grs.mantequilla', '1/2 taza de azúcar', '1 huevo', '2 tazas de harina cernida', '2 cucharaditas de polvos de hornear', '5 cucharadas de leche fría', '1 tarro de leche condensada', '3 yogurts naturales de 227 grs ó 8 oz cada uno aproximadamente', '200 grs de frambuesas']","['1-Relleno: mezclar los yogurts con la leche condensada, mezclar con un tenedor o batifor manual. Guardar en el refrigerador.', '2-Masa: batir la mantequilla con el azúcar y el huevo.', '3-Agregar la harina con polvos de hornear, alternando con la leche.', '4-Poner en un molde enmantequillado.', '5-Extender la masa con la mano, dejando una pestaña por los lados.', '6-Llevar al horno la masa por unos 10 a 15 minutos a 350°F (180°C).', '7-Retirar del horno la masa y agregar las frambuesas directo a la masa y encima cubrir con la mezcla de yogurth y leche condensada.', '8-Poner al horno nuevamente a 350°F (180°C) por unos 20 a 25 minutos, o hasta que la crema no se pegue en los dedos.', '9-Servir cuando esté completamente frío.']"
Kuchen de Manzana,75.0,12,,"['2 tazas de harina cruda', '1 taza de azúcar granulada', '2 cucharaditas de polvos de hornear', '125 gramos de margarina', '2 huevos', '1 kilo de manzanas verdes', '1 cucharadita de cánela en polvo', '3 cucharadas de azúcar granulada']","['1-En un bol mezclar la margarina y azúcar granulada, se uno un poco y después se le agregan los huevos uno a uno. Luego se añade la harina previamente cernida con los polvos de hornear.', '2-Debe quedar una masa fácil de trabajar, no se amasa. Se pone en la superficie de un molde de 26 cm., previamente enmantequillado y se empareja, se hacen bordes y se vacia el relleno que se ha preparado de la siguiente manera:', '3-Pelar las manzanas,cortarlas en pluma y se dejan en un bol con azúcar granulada junto con la cucharadita de cánela en polvo. Amacerando por lo menos una media hora.', '4-Una vez que se ha rellenado el kuchen, se lleva al horno precalentado a 200° C (400° F) por unos 35 minutos.']"
Kuchen de manzana 2,70.0,8,10,"['250 grs de harina', '170 grs de mantequilla sin sal', '1 cucharadita de sal', '1 cucharada de azúcar granulada', '1 yema de huevo', '6 cucharadas de leche líquida', '4 manzanas verdes idealmente', '20 grs de harina', '80 grs de azúcar rubia', '1 cucharada y media de esencia de vainilla', '1 pizca de nuez moscada', '1 cucharadita de canela en polvo', '1 yema', '20 ml de crema líquida', '1 cucharada de azúcar granulada', '1 pizca de sal', 'papel de aluminio']","['1-Batir la mantequilla con el azúcar, agregar la yema, luego el resto de ingredientes secos (harina y sal) alternando con la leche. Obtener una masa homogénea. Hacer una bola, envolver en alusa plástico y guardar en refrigerador al menos por una hora. Reservar.', '2-Pelar las manzanas, sacarles el centro y cortalas en rodajas. Colocarlas en un bol y agregarles la vainilla.', '3-En otro bol mezclar la harina, el azúcar, la nuez moscada y la canela. Mezclar bien y adjuntarlo a las manzanas, revolver todo muy bien.', '4-Sacar la masa del refrigerador, dejar un poco de masa para el enrejado.', '5-Con el mismo alusa plast estirar la masa con la ayuda de un uslero. Colocar la masa estirada en un molde de 22 cm. Acomodar bien. Luego agregar la mezcla de las manzanas. Y con el resto de la masa, estirarla en forma rectángular y cortar huinchas delgadas. Colocarlas intercaladas encima del kuchen.', '6-Mezclar todos los ingredientes y con la ayuda de un pincel, pintar encima del kuchen.', '7-Llevarlo al horno precalentado a 200° C (400°F) por 15 minutos. Luego bajar el fuego a 180° C (350° F) por unos 25 minutos más y en este paso taparlo con papel de aluminio.']"
Kuchen de mora,55.0,12,,"['80 grs.mantequilla', '1/2 taza de azúcar', '1 huevo', '2 tazas de harina cernida', '2 cucharaditas de polvos de hornear', '5 cucharadas de leche fría', '1 tarro de leche condensada', '3 yogurts naturales de 227 grs u 8 oz cada uno aproximadamente, también pueden yogurt griego', '200 grs de moras']","['1-Relleno:', '2-mezclar los yogurts con la leche condensada, dejar reposar unos 20 minutos en el refrigerador.', '3-Masa:', '4-Precalentar el horno a 350°F (180°C) batir la mantequilla con el azúcar y el huevo. Agregar la harina con polvos de hornear, alternando con la leche.', '5-Poner en un molde de 23 cms enmantequillado.', '6-Extender la masa con la mano, dejando una pestaña por los lados.', '7-Precocer la masa por unos 10 a 15 minutos.', '8-Agregar las moras directo a la masa y encima cubrir con la mezcla de yogurth y leche condensada.', '9-Poner al horno nuevamente por unos 20 a 25 minutos, o hasta que la crema no se pegue en los dedos.']"
Kuchen de murta,60.0,12,,"['INGREDIENTES PARA LA CREMA PASTELERA:', '1 litro de leche', '3/4 taza de maicena', '½ taza de azúcar granulada', '½ cucharadita de esencia de vainilla', '2 palos de canela', '3 clavos de olor', '4 yemas', '3 tazas de harina para todo uso', '3/4 taza azúcar granulada (puede usar un poco menos si desea)', '3 cucharaditas de polvos de hornear', '1 cucharadita de canela en polvo', '1 huevo', '125 grs de mantequilla (Sí, puede reemplazar por margarina)', '1 taza de murta , puede reemplazar por arándanos.']","['1-Primero batir las yemas con un poquito de leche, luegro agregar la maicena y un poco más de leche para poder disolver todo bien. Reservar.', '2-En una olla colocar el resto de leche y azúcar. Y un poco antes que comience a hervir, agregar la vainilla, canela, clavos de olor y la mezcla de yemas con maicena, la cual se puede colar antes de agregar. Y de ahí a fuego bajo comenzar a revolver constantemente para que no se pegue ni forme grumos, Continuar hasta que la crema se espese. Dejar hervir un minuto y apagar. Enfriar completamente antes de usar.', '3-Derretir la mantequilla completamente en el olla o en el microondas.', '4-En un bol mezclar el resto de los ingredientes harina, azúcar, polvos de hornear, canela en polvo, huevo y la mantequilla derretida. Mezclar con las manos y formar migas.', '5-Calentar el horno a 375°F (190°C).', '6-Enmantequillar un molde de 26 cms.', '7-Cubrir la base del molde con la mitad de la mezcla del Streusel. Presionar con los dedos y dejar bien firme.', '8-Colocar encima la murta, rociar con un poco de azúcar si desea. Luego agregar la crema pastelera completamente fría.', '9-Terminar cubriendo con el resto de Streusel.', '10-LLevar al horno por unos 35 minutos o hasta que esté dorado por encima.', '11-Dejar reposar antes de desmoldar y disfrutar idealmente bien frío.']"
